,sym1,sym2,p_value,t_value,c_value,hedge_ratio,zero_crossings
82,10000NFTUSDT,BUSDUSDT,0.02,-3.74,-3.37,0.0,87
237,10000NFTUSDT,USDCUSDT,0.02,-3.71,-3.37,0.0,78
4703,LQTYUSDT,MASKUSDT,0.0,-4.68,-3.37,0.31,56
250,10000NFTUSDT,YFIIUSDT,0.02,-3.68,-3.37,0.0,53
7257,YFIIUSDT,XNOUSDT,0.0,-4.82,-3.37,697.02,51
7248,YFIIUSDT,USDCUSDT,0.0,-4.52,-3.37,426.81,51
4884,MINAUSDT,1000BTTUSDT,0.03,-3.5,-3.37,965.2,51
7110,YFIIUSDT,BUSDUSDT,0.0,-4.51,-3.37,426.85,51
1995,CEEKUSDT,CROUSDT,0.01,-4.1,-3.37,0.74,49
4483,ILVUSDT,XVSUSDT,0.0,-11.31,-3.37,9.1,49
3623,FTMUSDT,GALAUSDT,0.0,-4.83,-3.37,13.37,48
3490,FLOWUSDT,WOOUSDT,0.01,-3.83,-3.37,2.65,48
4489,ILVUSDT,ZILUSDT,0.01,-4.0,-3.37,2513.56,47
3076,DOTUSDT,XVSUSDT,0.02,-3.68,-3.37,0.92,47
4848,MASKUSDT,SANDUSDT,0.0,-4.11,-3.37,8.6,46
5802,RLCUSDT,1000BTTUSDT,0.02,-3.71,-3.37,2614.04,45
810,ALPHAUSDT,IDEXUSDT,0.0,-4.99,-3.37,1.68,45
5326,OGUSDT,DASHUSDT,0.03,-3.53,-3.37,0.18,45
2141,CEEKUSDT,XNOUSDT,0.0,-4.68,-3.37,0.06,45
4452,ILVUSDT,SNXUSDT,0.0,-12.27,-3.37,19.02,45
700,ALICEUSDT,GLMRUSDT,0.02,-3.7,-3.37,4.51,45
3410,ETHWUSDT,SHIB1000USDT,0.01,-3.94,-3.37,172.78,45
323,1000BTTUSDT,OCEANUSDT,0.01,-3.79,-3.37,0.0,45
7212,YFIIUSDT,PAXGUSDT,0.01,-3.98,-3.37,0.22,45
6719,TWTUSDT,XVSUSDT,0.0,-5.54,-3.37,0.18,44
5343,OGUSDT,THETAUSDT,0.02,-3.75,-3.37,7.77,44
590,AGIXUSDT,LINAUSDT,0.0,-4.14,-3.37,17.12,44
5344,OGUSDT,TLMUSDT,0.0,-5.02,-3.37,470.89,44
3773,GALAUSDT,THETAUSDT,0.0,-4.84,-3.37,0.02,44
286,1000BTTUSDT,CROUSDT,0.0,-4.11,-3.37,0.01,44
3800,GFTUSDT,HOTUSDT,0.0,-5.3,-3.37,7.99,44
1399,AUDIOUSDT,PROMUSDT,0.01,-3.82,-3.37,0.04,43
1322,ATAUSDT,ENSUSDT,0.0,-4.26,-3.37,0.01,43
4469,ILVUSDT,UMAUSDT,0.0,-12.14,-3.37,29.71,43
2070,CEEKUSDT,LUNA2USDT,0.0,-4.18,-3.37,0.1,43
423,1000FLOKIUSDT,SHIB1000USDT,0.02,-3.63,-3.37,2.11,43
6963,XVSUSDT,API3USDT,0.0,-4.18,-3.37,4.2,43
4124,GRTUSDT,LTCUSDT,0.0,-4.71,-3.37,0.0,43
1137,API3USDT,OGUSDT,0.0,-4.59,-3.37,0.23,43
4650,LITUSDT,LTCUSDT,0.03,-3.5,-3.37,0.01,42
2524,CTCUSDT,QNTUSDT,0.0,-5.79,-3.37,0.0,42
2695,CYBERUSDT,ENJUSDT,0.0,-6.66,-3.37,22.18,42
4422,ILVUSDT,NKNUSDT,0.0,-8.07,-3.37,472.15,42
2936,DENTUSDT,OGUSDT,0.01,-4.02,-3.37,0.0,42
3801,GFTUSDT,JOEUSDT,0.0,-4.78,-3.37,0.03,42
3765,GALAUSDT,SLPUSDT,0.0,-5.26,-3.37,10.48,42
1941,C98USDT,XVSUSDT,0.0,-4.92,-3.37,0.03,42
748,ALPACAUSDT,AUDIOUSDT,0.0,-5.14,-3.37,0.88,42
6672,TWTUSDT,OPUSDT,0.01,-4.03,-3.37,0.58,42
6933,XRPUSDT,XVSUSDT,0.02,-3.61,-3.37,0.11,42
741,ALICEUSDT,XVSUSDT,0.0,-4.38,-3.37,0.17,42
338,1000BTTUSDT,RPLUSDT,0.0,-4.86,-3.37,0.0,42
3186,EOSUSDT,GLMRUSDT,0.03,-3.52,-3.37,3.37,41
2867,DARUSDT,GALAUSDT,0.01,-4.05,-3.37,6.04,41
2085,CEEKUSDT,OCEANUSDT,0.01,-4.04,-3.37,0.12,41
4654,LITUSDT,ONTUSDT,0.01,-4.08,-3.37,4.01,41
4607,LDOUSDT,PROMUSDT,0.01,-3.8,-3.37,0.38,41
2177,CELRUSDT,OGUSDT,0.0,-4.28,-3.37,0.0,41
6489,THETAUSDT,XVSUSDT,0.04,-3.44,-3.37,0.14,41
582,ADAUSDT,XMRUSDT,0.02,-3.6,-3.37,0.0,41
3869,GLMRUSDT,TLMUSDT,0.01,-3.89,-3.37,16.89,41
3108,DYDXUSDT,LINAUSDT,0.01,-4.06,-3.37,184.98,41
2068,CEEKUSDT,LRCUSDT,0.0,-4.38,-3.37,0.21,41
3902,GLMUSDT,XEMUSDT,0.0,-5.29,-3.37,6.78,41
390,1000FLOKIUSDT,GFTUSDT,0.0,-5.03,-3.37,1.9,41
4305,ILVUSDT,ALICEUSDT,0.0,-12.08,-3.37,53.57,41
349,1000BTTUSDT,UNIUSDT,0.0,-4.45,-3.37,0.0,41
6081,SLPUSDT,TLMUSDT,0.01,-3.96,-3.37,0.14,41
1094,API3USDT,DASHUSDT,0.0,-4.75,-3.37,0.04,41
5872,RNDRUSDT,CTSIUSDT,0.03,-3.53,-3.37,12.43,41
2040,CEEKUSDT,HNTUSDT,0.04,-3.47,-3.37,0.03,41
5056,NMRUSDT,OGUSDT,0.02,-3.76,-3.37,2.71,41
5348,OGUSDT,ZECUSDT,0.03,-3.52,-3.37,0.18,40
2900,DARUSDT,TLMUSDT,0.0,-4.96,-3.37,8.75,40
7148,YFIIUSDT,FTMUSDT,0.01,-3.8,-3.37,2224.25,40
3653,FTMUSDT,SLPUSDT,0.0,-4.76,-3.37,140.1,40
4445,ILVUSDT,RPLUSDT,0.0,-12.58,-3.37,1.81,40
443,1000LUNCUSDT,GFTUSDT,0.04,-3.39,-3.37,6.9,40
3180,ENSUSDT,XTZUSDT,0.02,-3.73,-3.37,11.33,40
347,1000BTTUSDT,TWTUSDT,0.02,-3.71,-3.37,0.0,40
328,1000BTTUSDT,PAXGUSDT,0.01,-3.89,-3.37,0.0,40
725,ALICEUSDT,SNXUSDT,0.0,-4.12,-3.37,0.36,40
3890,GLMUSDT,MANAUSDT,0.01,-4.0,-3.37,0.59,40
3458,FETUSDT,NMRUSDT,0.03,-3.48,-3.37,0.02,40
912,ANTUSDT,XVSUSDT,0.03,-3.59,-3.37,0.95,40
663,ALGOUSDT,RNDRUSDT,0.01,-3.77,-3.37,0.06,40
6135,SNXUSDT,ZECUSDT,0.01,-3.8,-3.37,0.08,40
6053,SLPUSDT,NEARUSDT,0.0,-5.03,-3.37,0.0,40
3453,FETUSDT,GALAUSDT,0.05,-3.37,-3.37,16.0,39
2950,DODOUSDT,FXSUSDT,0.0,-4.22,-3.37,0.02,39
1331,ATAUSDT,JSTUSDT,0.0,-4.56,-3.37,3.51,39
899,ANKRUSDT,GLMUSDT,0.02,-3.65,-3.37,0.11,39
1176,API3USDT,ZILUSDT,0.0,-5.35,-3.37,65.71,39
4138,HFTUSDT,LITUSDT,0.0,-4.18,-3.37,0.48,39
3836,GLMRUSDT,JASMYUSDT,0.02,-3.65,-3.37,47.77,39
4201,ICPUSDT,GLMRUSDT,0.02,-3.71,-3.37,17.76,39
5334,OGUSDT,OMGUSDT,0.0,-4.41,-3.37,10.56,39
4167,HNTUSDT,XNOUSDT,0.02,-3.62,-3.37,2.31,39
2922,DASHUSDT,SNXUSDT,0.0,-4.53,-3.37,12.18,39
4355,ILVUSDT,DASHUSDT,0.0,-12.77,-3.37,1.56,39
1462,BALUSDT,EOSUSDT,0.01,-3.93,-3.37,5.8,39
6080,SLPUSDT,THETAUSDT,0.0,-5.24,-3.37,0.0,39
696,ALICEUSDT,DOTUSDT,0.01,-3.98,-3.37,0.19,39
4699,LQTYUSDT,IOSTUSDT,0.0,-4.35,-3.37,113.5,39
4674,LOOKSUSDT,PROMUSDT,0.02,-3.69,-3.37,0.01,39
4629,LINAUSDT,OGUSDT,0.02,-3.6,-3.37,0.0,39
4941,MINAUSDT,RLCUSDT,0.0,-4.37,-3.37,0.37,39
6435,SUNUSDT,YFIIUSDT,0.04,-3.46,-3.37,0.0,39
5969,SHIB1000USDT,JOEUSDT,0.03,-3.49,-3.37,0.03,39
6516,TLMUSDT,NMRUSDT,0.03,-3.58,-3.37,0.0,39
6525,TLMUSDT,THETAUSDT,0.03,-3.52,-3.37,0.02,39
1115,API3USDT,IDEXUSDT,0.01,-4.08,-3.37,23.21,39
5036,NKNUSDT,RLCUSDT,0.01,-3.85,-3.37,0.08,39
7370,ZILUSDT,ALPHAUSDT,0.0,-13.07,-3.37,0.21,39
4426,ILVUSDT,OGUSDT,0.0,-11.79,-3.37,8.67,39
7067,YFIIUSDT,1000LUNCUSDT,0.01,-3.83,-3.37,7372.18,39
4424,ILVUSDT,OCEANUSDT,0.0,-7.67,-3.37,128.61,39
2052,CEEKUSDT,JASMYUSDT,0.03,-3.52,-3.37,10.7,38
3125,DYDXUSDT,ZILUSDT,0.04,-3.38,-3.37,120.75,38
794,ALPHAUSDT,DARUSDT,0.03,-3.49,-3.37,0.88,38
2935,DENTUSDT,NMRUSDT,0.04,-3.45,-3.37,0.0,38
2891,DARUSDT,PEOPLEUSDT,0.0,-4.15,-3.37,9.38,38
1552,BLURUSDT,OGUSDT,0.0,-5.57,-3.37,0.04,38
2850,DARUSDT,CKBUSDT,0.0,-4.37,-3.37,32.05,38
3827,GLMRUSDT,FTMUSDT,0.03,-3.53,-3.37,0.87,38
4537,JSTUSDT,XVSUSDT,0.01,-3.83,-3.37,0.0,38
4487,ILVUSDT,ZECUSDT,0.0,-8.16,-3.37,1.59,38
4814,LUNA2USDT,GLMRUSDT,0.01,-3.78,-3.37,2.35,38
4820,LUNA2USDT,LRCUSDT,0.03,-3.54,-3.37,2.22,38
4218,ICPUSDT,PAXGUSDT,0.01,-3.86,-3.37,0.0,38
2266,COTIUSDT,DARUSDT,0.0,-4.24,-3.37,0.48,37
2145,CEEKUSDT,YFIIUSDT,0.01,-3.92,-3.37,0.0,37
1945,CEEKUSDT,1000LUNCUSDT,0.03,-3.56,-3.37,0.65,37
1512,BANDUSDT,PROMUSDT,0.02,-3.65,-3.37,0.26,37
5217,OCEANUSDT,YFIIUSDT,0.01,-3.87,-3.37,0.0,37
1409,AUDIOUSDT,XVSUSDT,0.0,-4.96,-3.37,0.03,37
1283,ARPAUSDT,KDAUSDT,0.0,-4.19,-3.37,0.09,37
5770,RADUSDT,TRXUSDT,0.04,-3.42,-3.37,16.19,37
5774,RADUSDT,XVSUSDT,0.01,-4.1,-3.37,0.3,37
5895,RNDRUSDT,SANDUSDT,0.01,-3.83,-3.37,5.25,37
3774,GALAUSDT,TLMUSDT,0.0,-4.4,-3.37,1.45,37
845,ALPHAUSDT,UMAUSDT,0.0,-4.21,-3.37,0.06,37
842,ALPHAUSDT,TLMUSDT,0.0,-4.16,-3.37,7.74,37
5910,RNDRUSDT,XEMUSDT,0.0,-4.17,-3.37,61.97,37
5965,SHIB1000USDT,HOTUSDT,0.02,-3.65,-3.37,7.2,37
5968,SHIB1000USDT,IOTXUSDT,0.0,-5.01,-3.37,0.49,37
5970,SHIB1000USDT,KDAUSDT,0.0,-5.61,-3.37,0.01,37
6127,SNXUSDT,UMAUSDT,0.01,-3.82,-3.37,1.56,37
583,ADAUSDT,XNOUSDT,0.02,-3.72,-3.37,0.41,37
555,ACHUSDT,SWEATUSDT,0.01,-4.04,-3.37,2.09,37
7030,XVSUSDT,OGUSDT,0.0,-4.12,-3.37,0.95,37
7058,XVSUSDT,YFIUSDT,0.01,-4.07,-3.37,0.0,37
277,1000BTTUSDT,BNBUSDT,0.0,-5.17,-3.37,0.0,37
7478,ZILUSDT,OGUSDT,0.0,-11.98,-3.37,0.0,37
852,ALPHAUSDT,XMRUSDT,0.02,-3.6,-3.37,0.0,37
261,1000BTTUSDT,ALICEUSDT,0.01,-3.97,-3.37,0.0,37
3749,GALAUSDT,OGUSDT,0.01,-4.07,-3.37,0.0,37
2932,DENTUSDT,DYDXUSDT,0.0,-4.15,-3.37,0.0,37
4295,ILVUSDT,1000BTTUSDT,0.01,-3.81,-3.37,103680.76,37
4284,IDEXUSDT,UMAUSDT,0.02,-3.77,-3.37,0.03,37
4237,ICPUSDT,XNOUSDT,0.03,-3.47,-3.37,4.85,37
3196,EOSUSDT,NEARUSDT,0.04,-3.47,-3.37,0.51,37
1236,APTUSDT,ZECUSDT,0.0,-4.42,-3.37,0.2,36
837,ALPHAUSDT,SNXUSDT,0.03,-3.48,-3.37,0.04,36
5327,OGUSDT,DOTUSDT,0.04,-3.45,-3.37,1.15,36
1333,ATAUSDT,LQTYUSDT,0.0,-4.49,-3.37,0.09,36
5340,OGUSDT,SNXUSDT,0.0,-4.8,-3.37,2.19,36
5359,ONEUSDT,RNDRUSDT,0.01,-3.87,-3.37,0.01,36
4457,ILVUSDT,SUNUSDT,0.02,-3.71,-3.37,7599.9,36
5494,OPUSDT,YFIUSDT,0.04,-3.45,-3.37,0.0,36
827,ALPHAUSDT,OGUSDT,0.01,-4.05,-3.37,0.02,36
1489,BALUSDT,SLPUSDT,0.01,-4.0,-3.37,2386.15,36
3373,ETHWUSDT,LUNA2USDT,0.02,-3.67,-3.37,3.32,36
3891,GLMUSDT,MASKUSDT,0.0,-4.5,-3.37,0.07,36
34,10000NFTUSDT,1000LUNCUSDT,0.02,-3.7,-3.37,0.06,36
652,ALGOUSDT,ATAUSDT,0.04,-3.46,-3.37,1.25,36
6534,TLMUSDT,XMRUSDT,0.02,-3.62,-3.37,0.0,36
586,AGIXUSDT,DODOUSDT,0.04,-3.43,-3.37,1.91,36
6662,TWTUSDT,MATICUSDT,0.0,-4.41,-3.37,1.53,36
6717,TWTUSDT,XRPUSDT,0.0,-5.06,-3.37,1.62,36
7031,XVSUSDT,OMGUSDT,0.0,-4.21,-3.37,10.07,36
3644,FTMUSDT,NKNUSDT,0.0,-4.2,-3.37,2.24,36
7152,YFIIUSDT,GLMRUSDT,0.0,-4.42,-3.37,2551.76,36
2948,DODOUSDT,DYDXUSDT,0.0,-4.33,-3.37,0.05,36
1827,BTCUSDT,UNIUSDT,0.0,-4.19,-3.37,6148.52,36
2910,DARUSDT,ZILUSDT,0.0,-4.25,-3.37,5.39,36
2156,CELOUSDT,LOOKSUSDT,0.03,-3.55,-3.37,7.86,36
3798,GFTUSDT,CTKUSDT,0.03,-3.56,-3.37,0.02,36
4602,LDOUSDT,LOOKSUSDT,0.04,-3.4,-3.37,27.64,36
4709,LQTYUSDT,SANDUSDT,0.0,-4.9,-3.37,2.69,36
2561,CTCUSDT,VGXUSDT,0.01,-4.09,-3.37,1.15,36
1944,CEEKUSDT,1000BTTUSDT,0.02,-3.66,-3.37,96.04,36
2352,CRVUSDT,LITUSDT,0.02,-3.63,-3.37,0.65,35
3880,GLMRUSDT,XVGUSDT,0.0,-4.96,-3.37,49.62,35
6417,SUIUSDT,TLMUSDT,0.03,-3.57,-3.37,44.62,35
2189,CFXUSDT,CRVUSDT,0.0,-4.54,-3.37,0.28,35
4419,ILVUSDT,MINAUSDT,0.0,-7.67,-3.37,107.41,35
3466,FILUSDT,GLMUSDT,0.02,-3.67,-3.37,19.14,35
6540,TLMUSDT,ZILUSDT,0.03,-3.55,-3.37,0.62,35
3849,GLMRUSDT,OCEANUSDT,0.01,-3.86,-3.37,0.53,35
542,ACHUSDT,ICXUSDT,0.0,-4.99,-3.37,0.09,35
4311,ILVUSDT,API3USDT,0.0,-7.94,-3.37,38.25,35
4427,ILVUSDT,OMGUSDT,0.0,-7.46,-3.37,91.62,35
3889,GLMUSDT,MAGICUSDT,0.0,-4.61,-3.37,0.36,35
374,1000FLOKIUSDT,CEEKUSDT,0.04,-3.46,-3.37,0.43,35
354,1000BTTUSDT,XVGUSDT,0.01,-3.95,-3.37,0.12,35
3803,GFTUSDT,MDTUSDT,0.0,-4.35,-3.37,0.19,35
2588,CTSIUSDT,HFTUSDT,0.01,-4.06,-3.37,0.4,35
2603,CVCUSDT,ICXUSDT,0.0,-4.22,-3.37,0.43,35
7161,YFIIUSDT,HNTUSDT,0.01,-3.89,-3.37,302.3,35
7230,YFIIUSDT,SHIB1000USDT,0.02,-3.63,-3.37,56413.55,35
3802,GFTUSDT,LPTUSDT,0.0,-4.3,-3.37,0.0,35
4508,IOSTUSDT,OGUSDT,0.03,-3.5,-3.37,0.0,35
7005,XVSUSDT,IDEXUSDT,0.01,-4.02,-3.37,97.52,35
4635,LINAUSDT,XMRUSDT,0.02,-3.72,-3.37,0.0,35
5099,OCEANUSDT,CROUSDT,0.0,-4.65,-3.37,6.18,35
5963,SHIB1000USDT,GFTUSDT,0.04,-3.41,-3.37,0.9,35
1617,BOBAUSDT,CTCUSDT,0.02,-3.64,-3.37,0.79,35
4310,ILVUSDT,ANTUSDT,0.01,-3.79,-3.37,9.55,35
1384,AUDIOUSDT,C98USDT,0.0,-4.14,-3.37,1.1,35
1358,ATAUSDT,XTZUSDT,0.0,-4.34,-3.37,0.11,35
1345,ATAUSDT,SWEATUSDT,0.02,-3.62,-3.37,10.6,35
4999,NEARUSDT,TLMUSDT,0.02,-3.74,-3.37,111.64,35
1942,C98USDT,ZENUSDT,0.03,-3.55,-3.37,0.02,35
3021,DOGEUSDT,TLMUSDT,0.0,-4.32,-3.37,6.23,35
4376,ILVUSDT,GALAUSDT,0.0,-12.32,-3.37,2817.82,35
2008,CEEKUSDT,DOGEUSDT,0.0,-4.54,-3.37,0.61,35
4414,ILVUSDT,MASKUSDT,0.0,-12.39,-3.37,15.89,35
4813,LUNA2USDT,GFTUSDT,0.03,-3.58,-3.37,46.89,35
5870,RNDRUSDT,CHZUSDT,0.02,-3.73,-3.37,26.97,35
1093,API3USDT,DARUSDT,0.0,-4.89,-3.37,12.2,35
4779,LRCUSDT,TLMUSDT,0.0,-4.84,-3.37,17.93,35
5898,RNDRUSDT,SNXUSDT,0.0,-4.85,-3.37,0.73,35
4123,GRTUSDT,JSTUSDT,0.04,-3.44,-3.37,3.93,35
4758,LRCUSDT,NMRUSDT,0.02,-3.62,-3.37,0.01,35
3202,EOSUSDT,TLMUSDT,0.03,-3.51,-3.37,56.9,35
2119,CEEKUSDT,SUNUSDT,0.0,-4.14,-3.37,7.04,35
3298,ETHWUSDT,CEEKUSDT,0.01,-3.89,-3.37,34.89,35
2855,DARUSDT,DASHUSDT,0.0,-4.36,-3.37,0.0,35
7530,ZRXUSDT,SWEATUSDT,0.03,-3.52,-3.37,25.08,35
1467,BALUSDT,GALAUSDT,0.02,-3.72,-3.37,227.69,34
1189,APTUSDT,BUSDUSDT,0.0,-4.48,-3.37,5.19,34
1162,API3USDT,UMAUSDT,0.0,-4.4,-3.37,0.78,34
6652,TWTUSDT,LDOUSDT,0.03,-3.55,-3.37,0.53,34
1141,API3USDT,OPUSDT,0.01,-3.92,-3.37,0.77,34
6539,TLMUSDT,ZECUSDT,0.0,-4.58,-3.37,0.0,34
6439,SUSHIUSDT,MAGICUSDT,0.03,-3.53,-3.37,1.3,34
3124,DYDXUSDT,ZECUSDT,0.0,-4.55,-3.37,0.08,34
3113,DYDXUSDT,OGUSDT,0.01,-3.77,-3.37,0.42,34
4529,JSTUSDT,LITUSDT,0.04,-3.42,-3.37,0.03,34
2591,CTSIUSDT,LQTYUSDT,0.04,-3.46,-3.37,0.16,34
4648,LITUSDT,GRTUSDT,0.03,-3.55,-3.37,7.69,34
4714,LQTYUSDT,UMAUSDT,0.03,-3.58,-3.37,0.58,34
2278,COTIUSDT,OGUSDT,0.0,-5.25,-3.37,0.01,34
4951,MINAUSDT,TWTUSDT,0.02,-3.74,-3.37,0.47,34
7372,ZILUSDT,ANKRUSDT,0.0,-14.1,-3.37,0.87,34
4961,MINAUSDT,ZECUSDT,0.02,-3.71,-3.37,0.01,34
5003,NEARUSDT,TWTUSDT,0.0,-4.26,-3.37,1.39,34
2287,COTIUSDT,TLMUSDT,0.02,-3.7,-3.37,4.19,34
2361,CRVUSDT,XVSUSDT,0.02,-3.74,-3.37,0.1,34
1760,BSWUSDT,ETHWUSDT,0.02,-3.64,-3.37,0.05,34
2030,CEEKUSDT,GLMRUSDT,0.0,-4.31,-3.37,0.22,34
326,1000BTTUSDT,OPUSDT,0.02,-3.67,-3.37,0.0,34
53,10000NFTUSDT,APTUSDT,0.02,-3.71,-3.37,0.0,34
5418,OPUSDT,DOTUSDT,0.01,-3.94,-3.37,0.34,34
359,1000FLOKIUSDT,1000LUNCUSDT,0.01,-3.95,-3.37,0.28,34
2711,CYBERUSDT,GFTUSDT,0.0,-5.25,-3.37,605.15,34
5878,RNDRUSDT,GRTUSDT,0.02,-3.63,-3.37,18.49,34
6024,SLPUSDT,FETUSDT,0.05,-3.37,-3.37,0.01,34
4276,IDEXUSDT,OMGUSDT,0.02,-3.6,-3.37,0.1,34
2112,CEEKUSDT,SLPUSDT,0.0,-5.57,-3.37,27.35,34
4145,HFTUSDT,XRPUSDT,0.02,-3.66,-3.37,0.64,34
2194,CFXUSDT,GMTUSDT,0.02,-3.65,-3.37,0.79,34
6941,XVGUSDT,ANTUSDT,0.02,-3.71,-3.37,0.0,34
3789,GALAUSDT,XNOUSDT,0.05,-3.37,-3.37,0.02,34
1307,ATAUSDT,ANKRUSDT,0.03,-3.55,-3.37,4.07,34
118,10000NFTUSDT,ETHWUSDT,0.02,-3.69,-3.37,0.0,34
1227,APTUSDT,USDCUSDT,0.0,-4.39,-3.37,5.19,34
451,1000LUNCUSDT,LUNA2USDT,0.01,-3.82,-3.37,0.15,34
3794,GALAUSDT,ZECUSDT,0.01,-3.92,-3.37,0.0,34
7054,XVSUSDT,XEMUSDT,0.0,-4.6,-3.37,177.17,34
3804,GFTUSDT,OGUSDT,0.01,-4.05,-3.37,0.0,34
1215,APTUSDT,OGUSDT,0.0,-4.27,-3.37,1.11,34
3792,GALAUSDT,XVSUSDT,0.01,-3.89,-3.37,0.0,33
824,ALPHAUSDT,MINAUSDT,0.02,-3.74,-3.37,0.2,33
1524,BATUSDT,SANDUSDT,0.04,-3.43,-3.37,0.58,33
2363,CTCUSDT,1000BONKUSDT,0.0,-4.36,-3.37,714.35,33
5329,OGUSDT,ENSUSDT,0.04,-3.44,-3.37,0.63,33
5331,OGUSDT,LQTYUSDT,0.03,-3.48,-3.37,5.86,33
5252,OGNUSDT,DGBUSDT,0.02,-3.65,-3.37,14.23,33
5335,OGUSDT,OPUSDT,0.02,-3.66,-3.37,3.41,33
5336,OGUSDT,PEOPLEUSDT,0.0,-4.43,-3.37,504.46,33
3780,GALAUSDT,UMAUSDT,0.02,-3.76,-3.37,0.01,33
1342,ATAUSDT,SANDUSDT,0.0,-4.16,-3.37,0.25,33
587,AGIXUSDT,DYDXUSDT,0.0,-4.24,-3.37,0.09,33
7290,YGGUSDT,NMRUSDT,0.0,-4.47,-3.37,0.02,33
2063,CEEKUSDT,LINAUSDT,0.0,-4.7,-3.37,3.57,33
7291,YGGUSDT,OGUSDT,0.01,-3.83,-3.37,0.04,33
658,ALGOUSDT,GMTUSDT,0.01,-3.97,-3.37,0.62,33
6007,SLPUSDT,CKBUSDT,0.0,-4.46,-3.37,0.51,33
5913,RNDRUSDT,YFIUSDT,0.0,-4.17,-3.37,0.0,33
5891,RNDRUSDT,PROMUSDT,0.03,-3.59,-3.37,0.4,33
434,1000FLOKIUSDT,USDCUSDT,0.04,-3.4,-3.37,0.02,33
5877,RNDRUSDT,GMTUSDT,0.02,-3.69,-3.37,10.27,33
722,ALICEUSDT,RNDRUSDT,0.01,-4.06,-3.37,0.49,33
2734,CYBERUSDT,IOTXUSDT,0.0,-4.19,-3.37,331.82,33
762,ALPACAUSDT,LOOKSUSDT,0.03,-3.48,-3.37,2.4,33
173,10000NFTUSDT,LUNA2USDT,0.02,-3.7,-3.37,0.01,33
3713,GALAUSDT,EOSUSDT,0.03,-3.59,-3.37,0.03,33
5495,OPUSDT,ZECUSDT,0.0,-4.91,-3.37,0.05,33
773,ALPACAUSDT,XVSUSDT,0.0,-4.63,-3.37,0.03,33
6133,SNXUSDT,XVSUSDT,0.02,-3.7,-3.37,0.48,33
2909,DARUSDT,ZECUSDT,0.0,-4.85,-3.37,0.0,33
2896,DARUSDT,SNXUSDT,0.02,-3.75,-3.37,0.04,33
7073,YFIIUSDT,ADAUSDT,0.0,-4.55,-3.37,1709.21,33
5176,OCEANUSDT,RLCUSDT,0.02,-3.7,-3.37,0.31,33
4527,JOEUSDT,LPTUSDT,0.02,-3.64,-3.37,0.04,33
1221,APTUSDT,SUNUSDT,0.02,-3.68,-3.37,975.21,33
1150,API3USDT,SNXUSDT,0.01,-3.99,-3.37,0.5,33
4317,ILVUSDT,ATAUSDT,0.0,-11.78,-3.37,538.39,33
3459,FETUSDT,OGUSDT,0.0,-4.15,-3.37,0.05,33
373,1000FLOKIUSDT,BUSDUSDT,0.04,-3.45,-3.37,0.02,33
4340,ILVUSDT,CFXUSDT,0.0,-7.78,-3.37,340.45,33
4348,ILVUSDT,CRVUSDT,0.0,-7.77,-3.37,95.49,33
3908,GMTUSDT,JSTUSDT,0.03,-3.54,-3.37,7.07,33
140,10000NFTUSDT,HNTUSDT,0.02,-3.66,-3.37,0.0,33
4415,ILVUSDT,MATICUSDT,0.02,-3.71,-3.37,77.69,33
1072,API3USDT,ATAUSDT,0.01,-4.04,-3.37,14.08,33
1950,CEEKUSDT,ADAUSDT,0.0,-4.15,-3.37,0.15,33
3172,ENSUSDT,SANDUSDT,0.0,-4.35,-3.37,25.2,33
2205,CFXUSDT,SWEATUSDT,0.02,-3.69,-3.37,16.77,33
3461,FETUSDT,SUIUSDT,0.02,-3.6,-3.37,0.52,33
3660,FTMUSDT,TLMUSDT,0.03,-3.51,-3.37,19.38,33
4685,LPTUSDT,HOTUSDT,0.0,-4.11,-3.37,5662.37,33
3895,GLMUSDT,SANDUSDT,0.0,-4.13,-3.37,0.57,33
4613,LDOUSDT,XRPUSDT,0.03,-3.5,-3.37,3.08,33
5020,NKNUSDT,DASHUSDT,0.04,-3.39,-3.37,0.0,33
1463,BALUSDT,ETHUSDT,0.04,-3.4,-3.37,0.0,33
3888,GLMUSDT,LQTYUSDT,0.0,-4.17,-3.37,0.21,33
6921,XNOUSDT,DYDXUSDT,0.03,-3.49,-3.37,0.32,33
2277,COTIUSDT,NMRUSDT,0.04,-3.45,-3.37,0.0,33
3579,FORTHUSDT,ANTUSDT,0.01,-3.77,-3.37,0.64,33
169,10000NFTUSDT,LPTUSDT,0.0,-4.12,-3.37,0.0,33
3484,FLOWUSDT,PENDLEUSDT,0.03,-3.53,-3.37,0.73,33
3036,DOGEUSDT,YFIIUSDT,0.02,-3.74,-3.37,0.0,33
4702,LQTYUSDT,MANAUSDT,0.02,-3.63,-3.37,2.77,33
4664,LITUSDT,VETUSDT,0.01,-3.81,-3.37,38.28,33
6907,XEMUSDT,MANAUSDT,0.04,-3.42,-3.37,0.09,32
6535,TLMUSDT,XNOUSDT,0.01,-3.96,-3.37,0.02,32
6197,STGUSDT,BOBAUSDT,0.0,-4.26,-3.37,3.97,32
6124,SNXUSDT,THETAUSDT,0.0,-5.15,-3.37,3.54,32
6132,SNXUSDT,XTZUSDT,0.0,-4.32,-3.37,3.23,32
6424,SUIUSDT,XNOUSDT,0.02,-3.63,-3.37,0.72,32
2272,COTIUSDT,KAVAUSDT,0.0,-5.28,-3.37,0.07,32
