,sym1,sym2,p_value,t_value,c_value,hedge_ratio,zero_crossings
3225,ETCUSDT,VETUSDT,0.04,-3.38,-3.37,908.37,5
6089,SLPUSDT,VGXUSDT,0.02,-3.71,-3.37,0.01,5
5137,OCEANUSDT,KASUSDT,0.0,-4.76,-3.37,6.72,5
1426,AVAXUSDT,PROMUSDT,0.04,-3.4,-3.37,2.36,5
621,AKROUSDT,JSTUSDT,0.01,-3.92,-3.37,0.5,5
5570,QNTUSDT,BCHUSDT,0.01,-3.96,-3.37,0.44,5
5140,OCEANUSDT,KLAYUSDT,0.0,-4.94,-3.37,2.62,5
5399,OPUSDT,BOBAUSDT,0.03,-3.48,-3.37,11.77,5
2841,DARUSDT,AKROUSDT,0.0,-4.61,-3.37,7.96,5
619,AKROUSDT,GLMUSDT,0.01,-4.0,-3.37,0.06,5
5850,RLCUSDT,SOLUSDT,0.02,-3.76,-3.37,0.05,5
610,AKROUSDT,CVCUSDT,0.0,-5.09,-3.37,0.15,5
608,AKROUSDT,COMBOUSDT,0.0,-4.3,-3.37,0.02,5
6156,STGUSDT,1INCHUSDT,0.0,-5.53,-3.37,1.89,5
5209,OCEANUSDT,WOOUSDT,0.0,-5.71,-3.37,1.93,5
2535,CTCUSDT,SEIUSDT,0.0,-4.35,-3.37,1.2,5
3000,DOGEUSDT,MANAUSDT,0.02,-3.69,-3.37,0.21,5
3129,EDUUSDT,MAVUSDT,0.03,-3.47,-3.37,1.92,5
3128,EDUUSDT,CVXUSDT,0.01,-3.81,-3.37,0.17,5
6155,STGUSDT,1000XECUSDT,0.0,-5.55,-3.37,19.37,5
2530,CTCUSDT,ROSEUSDT,0.0,-4.84,-3.37,3.67,5
5664,QNTUSDT,ONTUSDT,0.0,-4.27,-3.37,571.06,5
4967,NEARUSDT,ALGOUSDT,0.05,-3.37,-3.37,11.79,5
5679,QNTUSDT,RNDRUSDT,0.0,-4.17,-3.37,59.22,5
4966,NEARUSDT,1INCHUSDT,0.03,-3.57,-3.37,4.54,5
3121,DYDXUSDT,VETUSDT,0.01,-3.83,-3.37,114.96,5
